Entity,Day,Monthly concentration of atmospheric carbon dioxide,Rolling yearly average of the concentration of atmospheric carbon dioxide
World,1989-10-15,351.85,352.54333
World,1989-11-15,353.03,352.66168
World,1989-12-15,353.9,352.78168
World,1990-01-15,354.45,352.90332
World,1990-02-15,354.87,353.02167
World,1990-03-15,355.19,353.12085
World,1990-04-15,355.5,353.21417
World,1990-05-15,355.4,353.315
World,1990-06-15,354.31,353.4025
World,1990-07-15,352.7,353.4975
World,1990-08-15,351.6,353.61334
World,1990-09-15,351.8,353.71667
World,1990-10-15,353.18,353.8275
World,1990-11-15,354.44,353.945
World,1990-12-15,355.18,354.05167
World,1991-01-15,355.75,354.16
World,1991-02-15,356.18,354.26917
World,1991-03-15,356.69,354.39417
World,1991-04-15,357.2,354.53583
World,1991-05-15,357.1,354.6775
World,1991-06-15,356.17,354.8325
World,1991-07-15,354.54,354.98584
World,1991-08-15,353.03,355.105
World,1991-09-15,352.9,355.19666
World,1991-10-15,354.01,355.26584
World,1991-11-15,355.16,355.32584
World,1991-12-15,355.95,355.39
World,1992-01-15,356.53,355.45502
World,1992-02-15,356.89,355.51416
World,1992-03-15,357.27,355.5625
World,1992-04-15,357.76,355.60916
World,1992-05-15,357.83,355.67
World,1992-06-15,356.87,355.72833
World,1992-07-15,355.18,355.78168
World,1992-08-15,353.67,355.835
World,1992-09-15,353.59,355.89252
World,1992-10-15,354.81,355.95917
World,1992-11-15,355.99,356.02832
World,1992-12-15,356.75,356.095
World,1993-01-15,357.21,356.15167
World,1993-02-15,357.56,356.2075
World,1993-03-15,357.96,356.26498
World,1993-04-15,358.42,356.32
World,1993-05-15,358.37,356.365
World,1993-06-15,357.35,356.405
World,1993-07-15,355.74,356.45166
World,1993-08-15,354.45,356.51666
World,1993-09-15,354.47,356.59
World,1993-10-15,355.71,356.665
World,1993-11-15,356.95,356.745
World,1993-12-15,357.85,356.83667
World,1994-01-15,358.48,356.9425
World,1994-02-15,359.02,357.06418
World,1994-03-15,359.36,357.18085
World,1994-04-15,359.71,357.28833
World,1994-05-15,359.74,357.4025
World,1994-06-15,358.81,357.52417
World,1994-07-15,357.27,357.65167
World,1994-08-15,356.05,357.785
World,1994-09-15,356.02,357.91415
World,1994-10-15,357.26,358.04333
World,1994-11-15,358.69,358.18832
World,1994-12-15,359.55,358.33
World,1995-01-15,360.15,358.46915
World,1995-02-15,360.63,358.60333
World,1995-03-15,361.09,358.7475
World,1995-04-15,361.56,358.90167
World,1995-05-15,361.47,359.04584
World,1995-06-15,360.61,359.19583
World,1995-07-15,359,359.34
World,1995-08-15,357.73,359.48
World,1995-09-15,358.06,359.65
World,1995-10-15,359.43,359.83084
World,1995-11-15,360.77,360.00415
World,1995-12-15,361.65,360.17917
World,1996-01-15,362.14,360.345
World,1996-02-15,362.5,360.50082
World,1996-03-15,362.82,360.645
World,1996-04-15,363.14,360.77667
World,1996-05-15,363.29,360.92834
World,1996-06-15,362.88,361.1175
World,1996-07-15,361.57,361.33167
World,1996-08-15,360.07,361.52667
World,1996-09-15,359.7,361.66333
World,1996-10-15,360.67,361.76666
World,1996-11-15,361.78,361.85083
World,1996-12-15,362.63,361.9325
World,1997-01-15,363.28,362.0275
World,1997-02-15,363.65,362.12335
World,1997-03-15,364.03,362.22418
World,1997-04-15,364.5,362.3375
World,1997-05-15,364.51,362.43918
World,1997-06-15,363.6,362.49918
World,1997-07-15,361.93,362.52917
World,1997-08-15,360.41,362.5575
World,1997-09-15,360.41,362.61667
World,1997-10-15,361.94,362.7225
World,1997-11-15,363.61,362.875
World,1997-12-15,364.68,363.04584
World,1998-01-15,365.19,363.205
World,1998-02-15,365.46,363.35583
World,1998-03-15,365.93,363.51416
World,1998-04-15,366.58,363.6875
World,1998-05-15,366.86,363.88333
World,1998-06-15,366.26,364.10498
World,1998-07-15,364.84,364.3475
World,1998-08-15,363.79,364.62915
World,1998-09-15,364.03,364.93082
World,1998-10-15,365.34,365.21417
World,1998-11-15,366.6,365.46332
World,1998-12-15,367.47,365.69583
World,1999-01-15,368.12,365.94
World,1999-02-15,368.52,366.195
World,1999-03-15,368.91,366.44333
World,1999-04-15,369.3,366.66998
World,1999-05-15,369.21,366.86584
World,1999-06-15,368.36,367.04083
World,1999-07-15,366.69,367.195
World,1999-08-15,365.33,367.32333
World,1999-09-15,365.44,367.44083
World,1999-10-15,366.75,367.55832
World,1999-11-15,368.05,367.67917
World,1999-12-15,368.88,367.79666
World,2000-01-15,369.41,367.90417
World,2000-02-15,369.68,368.00082
World,2000-03-15,369.99,368.09082
World,2000-04-15,370.36,368.17917
World,2000-05-15,370.24,368.26498
World,2000-06-15,369.3,368.34332
World,2000-07-15,367.91,368.445
World,2000-08-15,366.75,368.56332
World,2000-09-15,366.7,368.66833
World,2000-10-15,367.92,368.76584
World,2000-11-15,369.29,368.86917
World,2000-12-15,370.12,368.9725
World,2001-01-15,370.69,369.07916
World,2001-02-15,371.18,369.20416
World,2001-03-15,371.59,369.3375
World,2001-04-15,371.9,369.46582
World,2001-05-15,371.76,369.5925
World,2001-06-15,370.81,369.71832
World,2001-07-15,369.44,369.84583
World,2001-08-15,368.32,369.97668
World,2001-09-15,368.36,370.115
World,2001-10-15,369.71,370.26416
World,2001-11-15,371.04,370.41
World,2001-12-15,371.97,370.56418
World,2002-01-15,372.53,370.7175
World,2002-02-15,372.92,370.8625
World,2002-03-15,373.37,371.01083
World,2002-04-15,373.72,371.1625
World,2002-05-15,373.7,371.32416
World,2002-06-15,372.84,371.49335
World,2002-07-15,371.41,371.6575
World,2002-08-15,370.37,371.82834
World,2002-09-15,370.69,372.0225
World,2002-10-15,371.96,372.21
World,2002-11-15,373.29,372.3975
World,2002-12-15,374.27,372.58917
World,2003-01-15,374.95,372.79083
World,2003-02-15,375.48,373.00418
World,2003-03-15,375.92,373.21667
World,2003-04-15,376.39,373.43918
World,2003-05-15,376.51,373.67334
World,2003-06-15,375.68,373.91
World,2003-07-15,374.16,374.13916
World,2003-08-15,372.93,374.3525
World,2003-09-15,373.11,374.55417
World,2003-10-15,374.4,374.7575
World,2003-11-15,375.68,374.95667
World,2003-12-15,376.53,375.145
World,2004-01-15,377.21,375.33334
World,2004-02-15,377.73,375.52084
World,2004-03-15,378.16,375.7075
World,2004-04-15,378.47,375.88083
World,2004-05-15,378.4,376.03833
World,2004-06-15,377.51,376.19083
World,2004-07-15,375.96,376.34082
World,2004-08-15,374.49,376.47083
World,2004-09-15,374.39,376.5775
World,2004-10-15,375.73,376.68832
World,2004-11-15,377.2,376.815
World,2004-12-15,378.17,376.95166
World,2005-01-15,378.73,377.07834
World,2005-02-15,379.19,377.2
World,2005-03-15,379.81,377.3375
World,2005-04-15,380.3,377.49
World,2005-05-15,380.42,377.65833
World,2005-06-15,379.6,377.83252
World,2005-07-15,377.94,377.9975
World,2005-08-15,376.73,378.18417
World,2005-09-15,376.78,378.38333
World,2005-10-15,378.09,378.58002
World,2005-11-15,379.54,378.775
World,2005-12-15,380.52,378.97083
World,2006-01-15,381.33,379.1875
World,2006-02-15,381.95,379.4175
World,2006-03-15,382.33,379.6275
World,2006-04-15,382.65,379.82333
World,2006-05-15,382.61,380.00583
World,2006-06-15,381.74,380.18417
World,2006-07-15,380.07,380.36166
World,2006-08-15,378.5,380.50916
World,2006-09-15,378.62,380.6625
World,2006-10-15,380.05,380.82584
World,2006-11-15,381.42,380.98248
World,2006-12-15,382.38,381.1375
World,2007-01-15,383.03,381.27917
World,2007-02-15,383.55,381.4125
World,2007-03-15,384.02,381.55334
World,2007-04-15,384.28,381.68915
World,2007-05-15,384.13,381.81583
World,2007-06-15,383.26,381.9425
World,2007-07-15,381.55,382.06583
World,2007-08-15,380.29,382.215
World,2007-09-15,380.68,382.38666
World,2007-10-15,382.1,382.5575
World,2007-11-15,383.45,382.72665
World,2007-12-15,384.46,382.9
World,2008-01-15,385.23,383.08334
World,2008-02-15,385.75,383.26666
World,2008-03-15,386.15,383.44415
World,2008-04-15,386.53,383.63165
World,2008-05-15,386.48,383.8275
World,2008-06-15,385.57,384.02
World,2008-07-15,384.09,384.23166
World,2008-08-15,382.77,384.43832
World,2008-09-15,382.54,384.59332
World,2008-10-15,383.67,384.72418
World,2008-11-15,385.18,384.86835
World,2008-12-15,386.27,385.01917
World,2009-01-15,387.03,385.16916
World,2009-02-15,387.48,385.31332
World,2009-03-15,387.71,385.44333
World,2009-04-15,387.99,385.565
World,2009-05-15,387.95,385.6875
World,2009-06-15,386.96,385.80334
World,2009-07-15,385.02,385.88083
World,2009-08-15,383.63,385.9525
World,2009-09-15,383.93,386.06833
World,2009-10-15,385.49,386.22
World,2009-11-15,386.94,386.36667
World,2009-12-15,387.84,386.4975
World,2010-01-15,388.62,386.63
World,2010-02-15,389.33,386.78415
World,2010-03-15,389.68,386.94833
World,2010-04-15,389.98,387.11417
World,2010-05-15,389.95,387.28082
World,2010-06-15,389.01,387.45166
World,2010-07-15,387.35,387.64584
World,2010-08-15,386.23,387.8625
World,2010-09-15,386.7,388.09332
World,2010-10-15,388.25,388.32333
World,2010-11-15,389.61,388.54584
World,2010-12-15,390.34,388.75418
World,2011-01-15,390.85,388.94
World,2011-02-15,391.28,389.1025
World,2011-03-15,391.67,389.26834
World,2011-04-15,392.05,389.44083
World,2011-05-15,392.07,389.6175
World,2011-06-15,391.13,389.79416
World,2011-07-15,389.19,389.9475
World,2011-08-15,387.86,390.08334
World,2011-09-15,388.26,390.21332
World,2011-10-15,389.83,390.345
World,2011-11-15,391.2,390.4775
World,2011-12-15,392.04,390.61917
World,2012-01-15,392.61,390.76584
World,2012-02-15,393.2,390.92584
World,2012-03-15,393.72,391.09668
World,2012-04-15,393.99,391.25833
World,2012-05-15,393.88,391.40918
World,2012-06-15,392.84,391.55167
World,2012-07-15,391,391.7025
World,2012-08-15,389.89,391.87167
World,2012-09-15,390.55,392.0625
World,2012-10-15,392.16,392.25665
World,2012-11-15,393.56,392.45334
World,2012-12-15,394.39,392.64917
World,2013-01-15,395.07,392.85416
World,2013-02-15,395.69,393.06168
World,2013-03-15,396.28,393.275
World,2013-04-15,396.74,393.50418
World,2013-05-15,396.75,393.74335
World,2013-06-15,395.96,394.00333
World,2013-07-15,394.47,394.2925
World,2013-08-15,393.24,394.57166
World,2013-09-15,393.2,394.7925
World,2013-10-15,394.5,394.9875
World,2013-11-15,395.95,395.18668
World,2013-12-15,396.87,395.39334
World,2014-01-15,397.51,395.59668
World,2014-02-15,397.97,395.78668
World,2014-03-15,398.27,395.9525
World,2014-04-15,398.63,396.11
World,2014-05-15,398.69,396.27167
World,2014-06-15,397.72,396.41833
World,2014-07-15,396.13,396.55667
World,2014-08-15,395.02,396.70502
World,2014-09-15,395.12,396.865
World,2014-10-15,396.38,397.02167
World,2014-11-15,397.86,397.18085
World,2014-12-15,398.83,397.34418
World,2015-01-15,399.56,397.51498
World,2015-02-15,400.12,397.69415
World,2015-03-15,400.57,397.88583
World,2015-04-15,400.96,398.08
World,2015-05-15,400.91,398.26498
World,2015-06-15,400.06,398.46
World,2015-07-15,398.38,398.6475
World,2015-08-15,397.07,398.81833
World,2015-09-15,397.34,399.00333
World,2015-10-15,398.8,399.205
World,2015-11-15,400.36,399.41333
World,2015-12-15,401.66,399.64917
World,2016-01-15,402.64,399.90582
World,2016-02-15,403.27,400.16833
World,2016-03-15,403.86,400.4425
World,2016-04-15,404.39,400.72833
World,2016-05-15,404.45,401.02335
World,2016-06-15,403.66,401.32333
World,2016-07-15,402.11,401.63416
World,2016-08-15,400.8,401.945
World,2016-09-15,400.99,402.24918
World,2016-10-15,402.42,402.55084
World,2016-11-15,403.78,402.83585
World,2016-12-15,404.69,403.08832
World,2017-01-15,405.33,403.3125
World,2017-02-15,405.91,403.5325
World,2017-03-15,406.32,403.7375
World,2017-04-15,406.6,403.92166
World,2017-05-15,406.64,404.10416
World,2017-06-15,405.85,404.28668
World,2017-07-15,404.11,404.45334
World,2017-08-15,402.57,404.60083
World,2017-09-15,402.66,404.74
World,2017-10-15,404.16,404.885
World,2017-11-15,405.7,405.045
World,2017-12-15,406.75,405.21667
World,2018-01-15,407.56,405.4025
World,2018-02-15,408.23,405.59583
World,2018-03-15,408.77,405.8
World,2018-04-15,409.08,406.00665
World,2018-05-15,408.94,406.19833
World,2018-06-15,408.06,406.3825
World,2018-07-15,406.47,406.57916
World,2018-08-15,405.1,406.79
World,2018-09-15,405.17,406.99918
World,2018-10-15,406.65,407.20667
World,2018-11-15,408.13,407.40918
World,2018-12-15,409.18,407.61166
World,2019-01-15,409.92,407.80835
World,2019-02-15,410.34,407.98416
World,2019-03-15,410.89,408.16083
World,2019-04-15,411.33,408.34833
World,2019-05-15,411.34,408.54834
World,2019-06-15,410.53,408.75418
World,2019-07-15,408.88,408.95502
World,2019-08-15,407.64,409.16666
World,2019-09-15,407.92,409.39584
World,2019-10-15,409.44,409.62833
World,2019-11-15,410.87,409.85666
World,2019-12-15,411.76,410.07166
World,2020-01-15,412.43,410.28082
World,2020-02-15,412.95,410.49835
World,2020-03-15,413.44,410.71085
World,2020-04-15,413.86,410.92166
World,2020-05-15,413.81,411.1275
World,2020-06-15,412.88,411.32333
World,2020-07-15,411.17,411.51416
World,2020-08-15,409.73,411.68832
World,2020-09-15,410,411.86166
World,2020-10-15,411.66,412.04666
World,2020-11-15,413.25,412.245
World,2020-12-15,414.14,412.44333
World,2021-01-15,414.74,412.63583
World,2021-02-15,415.2,412.82333
World,2021-03-15,415.49,412.99417
World,2021-04-15,415.81,413.15668
World,2021-05-15,416.01,413.34
World,2021-06-15,415.2,413.53333
World,2021-07-15,413.45,413.72333
World,2021-08-15,412.15,413.925
World,2021-09-15,412.38,414.12335
World,2021-10-15,413.83,414.30417
World,2021-11-15,415.58,414.49832
World,2021-12-15,416.6,414.70334
World,2022-01-15,417.18,414.90668
World,2022-02-15,417.64,415.11
World,2022-03-15,418.16,415.3325
World,2022-04-15,418.58,415.56332
World,2022-05-15,418.45,415.76666
World,2022-06-15,417.43,415.9525
World,2022-07-15,415.67,416.1375
World,2022-08-15,414.4,416.325
World,2022-09-15,414.62,416.51166
World,2022-10-15,416.13,416.70334
World,2022-11-15,417.84,416.89166
World,2022-12-15,418.92,417.085
World,2023-01-15,419.38,417.26834
World,2023-02-15,419.65,417.43582
World,2023-03-15,419.98,417.5875
World,2023-04-15,420.5,417.7475
World,2023-05-15,420.57,417.92416
World,2023-06-15,419.58,418.10333
World,2023-07-15,417.92,418.29083
World,2023-08-15,416.77,418.48834
World,2023-09-15,417.17,418.70084
World,2023-10-15,418.84,418.92667
World,2023-11-15,420.4,419.14
World,2023-12-15,421.51,419.35583
World,2024-01-15,422.25,419.595
World,2024-02-15,422.81,419.85834
World,2024-03-15,423.39,420.14252
World,2024-04-15,423.87,420.42334
World,2024-05-15,423.94,420.70416
World,2024-06-15,423.22,421.0075
World,2024-07-15,421.59,421.31332
World,2024-08-15,420.21,421.6
World,2024-09-15,420.54,421.88083
World,2024-10-15,422.34,422.1725
World,2024-11-15,424.06,422.4775
World,2024-12-15,425.26,422.79
World,2025-01-15,426.05,423.10666
World,2025-02-15,426.13,423.38333
